ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5679862,HN487108,07/24/2007 10:11:00 PM,054XX S ABERDEEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0934,009,16,61,14,1169912,1868555,2007,04/15/2016 08:55:02 AM,41.794811309,-87.652466989,"(41.794811309, -87.652466989)"
5679863,HN488302,07/24/2007 01:00:00 PM,082XX S TALMAN AVE,0460,BATTERY,SIMPLE,STREET,false,false,0835,008,18,70,08B,1160134,1850078,2007,04/15/2016 08:55:02 AM,41.744314668,-87.688830696,"(41.744314668, -87.688830696)"
5679864,HN487195,07/24/2007 02:20:00 PM,034XX N MILWAUKEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1731,017,30,16,08B,1148204,1922490,2007,04/15/2016 08:55:02 AM,41.943259605,-87.730682304,"(41.943259605, -87.730682304)"
5679865,HN484199,07/21/2007 12:30:00 PM,035XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1412,014,35,21,06,1152064,1921048,2007,04/15/2016 08:55:02 AM,41.9392273,-87.716532899,"(41.9392273, -87.716532899)"
5679866,HN489706,07/26/2007 03:00:00 AM,048XX W ARGYLE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,false,false,1623,016,45,12,14,1143169,1932807,2007,04/15/2016 08:55:02 AM,41.971665985,-87.74893007,"(41.971665985, -87.74893007)"
5679868,HN479171,07/20/2007 11:40:00 PM,023XX S CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1033,010,12,30,14,1158058,1888522,2007,04/15/2016 08:55:02 AM,41.849852628,-87.695392076,"(41.849852628, -87.695392076)"
5679870,HN487786,07/25/2007 10:20:00 AM,001XX E 71ST ST,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,0323,003,6,69,06,1178576,1857978,2007,04/15/2016 08:55:02 AM,41.765594255,-87.62101766,"(41.765594255, -87.62101766)"
5679872,HN489597,07/26/2007 03:00:00 AM,024XX N FRANCISCO AVE,0810,THEFT,OVER $500,APARTMENT,false,false,1414,014,35,22,06,1156634,1915948,2007,04/15/2016 08:55:02 AM,41.925141071,-87.699875328,"(41.925141071, -87.699875328)"
5679873,HN488796,07/25/2007 06:50:00 PM,098XX S PARNELL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARK PROPERTY,true,false,2223,022,21,73,15,1174363,1839821,2007,04/15/2016 08:55:02 AM,41.715863801,-87.636998103,"(41.715863801, -87.636998103)"
5679874,HN486104,07/24/2007 11:30:00 AM,017XX W PIERCE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1433,014,1,24,05,1164550,1910426,2007,04/15/2016 08:55:02 AM,41.909824195,-87.670945023,"(41.909824195, -87.670945023)"
5679875,HN485891,07/22/2007 12:05:00 AM,016XX N WESTERN AVE,0810,THEFT,OVER $500,STREET,false,false,1434,014,1,24,06,1160114,1910738,2007,04/15/2016 08:55:02 AM,41.910773194,-87.687232407,"(41.910773194, -87.687232407)"
5679876,HN488180,07/25/2007 02:10:00 PM,035XX W FULLERTON AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1413,014,26,22,08B,1152506,1915731,2007,04/15/2016 08:55:02 AM,41.924628284,-87.71504934,"(41.924628284, -87.71504934)"
5679877,HN485606,07/23/2007 09:00:00 AM,015XX N ARTESIAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1423,014,1,24,06,1159792,1910263,2007,04/15/2016 08:55:02 AM,41.909476407,-87.68842844,"(41.909476407, -87.68842844)"
5679878,HN459531,04/23/2007 12:01:00 AM,026XX N SACRAMENTO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,1411,014,35,22,26,1155923,1917476,2007,04/15/2016 08:55:02 AM,41.929348403,-87.70244657,"(41.929348403, -87.70244657)"
5679879,HN485432,07/23/2007 08:00:00 PM,030XX W PALMER BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,1414,014,35,22,06,1155945,1914325,2007,04/15/2016 08:55:02 AM,41.920701371,-87.702450917,"(41.920701371, -87.702450917)"
5679881,HN486824,07/23/2007 07:00:00 PM,010XX N STATE ST,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,false,false,1824,018,42,8,06,1176172,1907536,2007,04/15/2016 08:55:02 AM,41.901639684,-87.62833826,"(41.901639684, -87.62833826)"
5679882,HN485055,07/23/2007 10:00:39 PM,082XX S DR MARTIN LUTHER KING JR DR,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0631,006,6,44,04B,1180332,1850554,2007,04/15/2016 08:55:02 AM,41.745181902,-87.614808669,"(41.745181902, -87.614808669)"
5679885,HN477072,07/19/2007 11:00:00 PM,003XX W OAK ST,2027,NARCOTICS,POSS: CRACK,CHA APARTMENT,true,false,1823,018,27,8,18,1173484,1907095,2007,04/15/2016 08:55:02 AM,41.900489748,-87.638224621,"(41.900489748, -87.638224621)"
5679887,HN488976,07/25/2007 08:35:00 PM,050XX W GLADYS AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1533,015,29,25,08B,1142579,1897865,2007,04/15/2016 08:55:02 AM,41.875792556,-87.751970712,"(41.875792556, -87.751970712)"
5679888,HN489702,07/25/2007 04:00:00 PM,044XX S SPAULDING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,0821,008,14,58,26,1155096,1875110,2007,04/15/2016 08:55:02 AM,41.813108297,-87.706622217,"(41.813108297, -87.706622217)"
5679889,HN485186,07/23/2007 11:15:00 PM,003XX E 89TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0633,006,6,44,08B,1179726,1846039,2007,04/15/2016 08:55:02 AM,41.732806071,-87.617166805,"(41.732806071, -87.617166805)"
